PARENT_TASK,SUMMARY,ESTIMATE,DESCRIPTION
ENTMQIC-2639,System tests execution,2d,Execute system tests against:\n*RHEL 6 i686\n* RHEL 6 x86_64\n* RHEL 7 x86_64\n* RHEL 8 x86_64
ENTMQIC-2639,Qpid Dispatch Integration Tests,2d,Execute system tests against:\n*RHEL 6 i686\n* RHEL 6 x86_64\n* RHEL 7 x86_64\n* RHEL 8 x86_64
ENTMQIC-2639,Qpid Dispatch Openshift Smoke Tests,2d,Execute Qpid Dispatch Openshift Smoke Tests against supported versions (current and current -1).
ENTMQIC-2639,Qpid Dispatch Openshift Interoperability Smoke Tests,1d,Execute Qpid Dispatch Openshift Smoke Tests against different interconnect versions in parallel (current and current -1).
ENTMQIC-2639,QDR Operator E2E Tests,1d,Execute QDR Operator E2E Tests against supported versions (current and current -1).
ENTMQIC-2639,QDR Image Tests,1d,Execute QDR Image Tests against supported versions (current and current -1).
ENTMQIC-2639,Bundle Image and Catalog testing,4h,Verify that the produced bundle image works on both OpenShift clusters (current and current -1).
