SUMMARY,DESCRIPTION
QE - Prepare infra and jobs to consume 1.10.0,Prepare QE infra and jobs.\nSee sub-tasks for complete list of tests to be executed.
QE - Execute Regression Tests,Regression tests must be executed through the CI and results validated.\nSee sub-tasks for complete list of tests to be executed.
QE - Manual test execution for Interconnect 1.10.0,Manual test execution.\nSee sub-tasks for complete list of tests to be executed.
QE - Test development for Interconnect 1.10.0,Placeholder for QE test development sub-tasks.\nSee sub-tasks for complete list of tests to be executed.
QE - Execute TPS tests for AMQ IC 1.10.0,Execute TPS tests and make sure all tests are passing (or properly waived).
