PARENT_TASK,SUMMARY,ESTIMATE,DESCRIPTION
JIRAID,Create mrgrepo entry for 1.10.1,2h,Run mrgjenkins job to create the mrgrepo entry.\nSee the document below for further reference: https://docs.google.com/document/d/1dIjdSdU0sIZ7QVQLcgysiIwm-BJJZ83mePyykbm11Dw/edit
JIRAID,Adjust job dsl on amq-ci to consume latest image tag 1.10,4h,Adjust job dsl on amq-ci to consume latest image tag 1.10
JIRAID,Clean up old and broken VMs in PSI,4h,Go through VMs and remove those that were left behind and those in error state
