PARENT_TASK,SUMMARY,ESTIMATE,DESCRIPTION
ENTMQIC-2505,Create mrgrepo entry for 1.9.0,2h,Run mrgjenkins job to create the mrgrepo entry.\nSee the document below for further reference: https://docs.google.com/document/d/1dIjdSdU0sIZ7QVQLcgysiIwm-BJJZ83mePyykbm11Dw/edit
ENTMQIC-2505,Adjust job dsl on amq-ci to consume latest image tag 1.9,4h,Adjust job dsl on amq-ci to consume latest image tag 1.9
